,Unnamed: 0,stars,useful,funny,cool,text,name,city,state,postal_code,latitude,longitude,review_count,is_open,categories,RestaurantsAttire,HasTV,RestaurantsReservations,BusinessAcceptsCreditCards,RestaurantsGoodForGroups,OutdoorSeating,BusinessParking,GoodForKids,NoiseLevel,RestaurantsTakeOut,Alcohol,WiFi,RestaurantsPriceRange2,Caters,BikeParking,Ambience,RestaurantsDelivery,GoodForMeal,year,preparedText,RestaurantsTableService,DriveThru,DogsAllowed,BYOBCorkage,Corkage,Topic0,Topic1,Topic2,Topic3,Topic4
0,0,2,1,0,0,"I like Burger King but this location always has really slow and really rude service.

This last time I went, I wanted to add something at the window but they said I had to pull around. This was at 11 pm with no cars behind me. When I pulled around, I had to wait 10 min before I went up to the locked doors and knocked hard. Again, no other customers besides us. It was just sitting there cuz they forgot.

Rant over. 2 stars because I like Burger King in general and they've never messed up my order. But always horrible slow and rude service.",Burger King,Atlanta,GA,30318,33.785385,-84.40711,51,1,"Restaurants, Fast Food, Burgers",'casual',True,False,True,True,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,u'very_loud',True,'none','free',1,False,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",2015,"like burger king locat alway realli slow realli rude servic . last time went , want add someth window said pull around . 11 pm car behind . pull around , wait 10 min went lock door knock hard . , custom besid us . sit cuz forgot . rant . 2 star like burger king gener 've never mess order . alway horribl slow rude servic .",,,,,,0.3792894425652366,0.0036505525098013882,0.32087777013698066,0.29260700281372665,0.0035752319742546907
1,1,5,1,0,0,"The food here is normal Burger King, but the attitude of the employees and the customer service is always top notch. Employees have always been friendly and helpful. Enjoy eating here.",Burger King,Atlanta,GA,30318,33.785385,-84.40711,51,1,"Restaurants, Fast Food, Burgers",'casual',True,False,True,True,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,u'very_loud',True,'none','free',1,False,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",2015,"food normal burger king , attitud employe custom servic alway top notch . employe alway friendli help . enjoy eat .",,,,,,0.2837600863772791,0.01141331496063042,0.09074330674921553,0.6029642188173938,0.011119073095481028
2,2,1,1,0,0,"Nice guy at the window. The food was cold largely do to a woman in front of me who had a ""complicated order"".... They should tell the to pull up. Not acceptable.",Burger King,Atlanta,GA,30318,33.785385,-84.40711,51,1,"Restaurants, Fast Food, Burgers",'casual',True,False,True,True,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,u'very_loud',True,'none','free',1,False,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",2016,nice guy window . food cold larg woman front `` complic order '' .... tell pull . accept .,,,,,,0.5262614432815507,0.01437730241783086,0.0148026900970381,0.4302571859932107,0.014301378210369645
3,3,1,1,2,1,"I visited this location two consecutive mornings and each time the employees did not have coffee already made. Needless to say the employees here are extremely, extremely incompetent. Who forgets to put sausage on a breakfast burrito when sausage is the main ingredient? The next morning my mother ordered a sausage, egg, and cheese croissant, and instead she received an egg and cheese croissant. It goes on...the cashier, who failed to give us our change, asked for our name and when an employee made an attempt to pronounce my name she said, ""Lassie"", the dog from the TV show! Why? Because the cashier can't spell.",Burger King,Atlanta,GA,30318,33.785385,-84.40711,51,1,"Restaurants, Fast Food, Burgers",'casual',True,False,True,True,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,u'very_loud',True,'none','free',1,False,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",2013,"visit locat two consecut morn time employe coffe alreadi made . needless say employe extrem , extrem incompet . forget put sausag breakfast burrito sausag main ingredi ? next morn mother order sausag , egg , chees croissant , instead receiv egg chees croissant . goe ... cashier , fail give us chang , ask name employe made attempt pronounc name said , `` lassi '' , dog tv show ! ? cashier ca n't spell .",,,,,,0.3344970587141154,0.003439471285415086,0.12747332648125656,0.531195266970729,0.0033948765484838046
4,4,5,0,0,1,"I stop by this location on my way to work. Service is always fast and the staff is always friendly. I have only done drive through, so I can't speak for the inside.",Burger King,Atlanta,GA,30318,33.785385,-84.40711,51,1,"Restaurants, Fast Food, Burgers",'casual',True,False,True,True,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,u'very_loud',True,'none','free',1,False,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",2017,"stop locat way work . servic alway fast staff alway friendli . done drive , ca n't speak insid .",,,,,,0.01290691264945468,0.012557612184572974,0.7940624567821176,0.167926738123159,0.012546280260695798
5,5,3,0,0,0,Waited so long for my order but the food was good. The staff were friendly and the place was neat. I will definitely come back but hoping for more improvement though.,Burger King,Atlanta,GA,30318,33.785385,-84.40711,51,1,"Restaurants, Fast Food, Burgers",'casual',True,False,True,True,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,u'very_loud',True,'none','free',1,False,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",2016,wait long order food good . staff friendli place neat . definit come back hope improv though .,,,,,,0.012749313932145036,0.012556221198824963,0.012737795701723398,0.9493147041163592,0.012641965050947297
6,6,4,0,0,0,"I love this store being its soo close to work , I don't eat here a lot but when I do go this is the place to be . The store is very clean I love the customer service I get each time I come in here and they have the best Fries to die for yes indeed.

The hots were HOT
The colds were COLD
I love getting the receipt only for me to redeem and get more free food items/ with a purchase of a drink and the fries tho /",Burger King,Atlanta,GA,30318,33.785385,-84.40711,51,1,"Restaurants, Fast Food, Burgers",'casual',True,False,True,True,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,u'very_loud',True,'none','free',1,False,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",2014,"love store soo close work , n't eat lot go place . store clean love custom servic get time come best fri die ye inde . hot hot cold cold love get receipt redeem get free food items/ purchas drink fri tho /",,,,,,0.27925665591752524,0.035996893296943895,0.0053028461891356325,0.6743029736903734,0.005140630906021874
7,7,5,0,0,0,Just had an amazing experience here in the drive thru which is rare at drive thrus!! Journey was amazing so accomidating and friendly. Service with a smile is always the best!!! Great Job BK!,Burger King,Atlanta,GA,30318,33.785385,-84.40711,51,1,"Restaurants, Fast Food, Burgers",'casual',True,False,True,True,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,u'very_loud',True,'none','free',1,False,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",2018,amaz experi drive thru rare drive thru ! ! journey amaz accomid friendli . servic smile alway best ! ! ! great job bk !,,,,,,0.9544765173889656,0.011132275454405887,0.011649819526444201,0.011543955269011195,0.011197432361173031
8,8,1,0,2,0,"OMG where do I start?!!? I was ordering for my friend who was experiencing her cannabis munchies. Again I said for a friend! Shall she had me to go here to get her some food! Unlike the restaurant across the street and next door, they had no traffic! So it was perfect! That is, until the ordering begins! I wanted a veggie burger meal. But the drink machines were down so I couldn't order a Sprite. Then they try to up charge me just to order a small fry and veggie burger. Like really bro? Burger King's is not even real meat! This veggie burger probably has not one drop of a vegetable in it! And you people really wanted to charge me $7 for a fake veggie burger and fake fries?!!? To make matters worse when ordering my friends food, they didn't have onion rings... Early Sunday morning! So at 2 a.m. on a Sunday morning they did not have onion rings. Why is it that the manager told me that onion rings would be in Wednesday?!!? Like for real bro? Special mention... Ivan was taking orders. His tag clearly said coordinator. However he reads it as manager! His words exactly! So for all of you Butthead in this area... Stay away!",Burger King,Atlanta,GA,30318,33.785385,-84.40711,51,1,"Restaurants, Fast Food, Burgers",'casual',True,False,True,True,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,u'very_loud',True,'none','free',1,False,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",2017,"omg start ? ! ! ? order friend experienc cannabi munchi . said friend ! shall go get food ! unlik restaur across street next door , traffic ! perfect ! , order begin ! want veggi burger meal . drink machin could n't order sprite . tri charg order small fri veggi burger . like realli bro ? burger king 's even real meat ! veggi burger probabl one drop veget ! peopl realli want charg $ 7 fake veggi burger fake fri ? ! ! ? make matter wors order friend food , n't onion ring ... earli sunday morn ! 2 a.m. sunday morn onion ring . manag told onion ring would wednesday ? ! ! ? like real bro ? special mention ... ivan take order . tag clearli said coordin . howev read manag ! word exactli ! butthead area ... stay away !",,,,,,0.0020245041391211706,0.0020013898293158396,0.20681844068708646,0.7871937671987541,0.0019618981457223852
9,9,2,1,0,0,One person working the drive through and walk up counter. A very long wait and a dose of attitude. Lack of management engagement is staffing and training. A poor experience.,Burger King,Atlanta,GA,30318,33.785385,-84.40711,51,1,"Restaurants, Fast Food, Burgers",'casual',True,False,True,True,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,u'very_loud',True,'none','free',1,False,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",2018,one person work drive walk counter . long wait dose attitud . lack manag engag staf train . poor experi .,,,,,,0.7361744377671254,0.011141180451330824,0.14983624247096633,0.011294720786428012,0.0915534185241493
