,Unnamed: 0,stars,useful,funny,cool,text,name,city,state,postal_code,latitude,longitude,review_count,is_open,categories,RestaurantsPriceRange2,RestaurantsReservations,RestaurantsGoodForGroups,GoodForKids,OutdoorSeating,DriveThru,HasTV,RestaurantsAttire,RestaurantsDelivery,Ambience,BusinessParking,BikeParking,BusinessAcceptsCreditCards,RestaurantsTakeOut,year,preparedText,Corkage,WiFi,NoiseLevel,Alcohol,BYOBCorkage,GoodForMeal,Caters,DogsAllowed,RestaurantsTableService,Topic0,Topic1,Topic2,Topic3,Topic4
0,0,5,0,0,0,"This is possibly my favorite ""fast food chain"" per-say. Everything is amazing. The servers are always very nice are always willing to serve you more condiments if you ask for ""more"" of something. I especially love the the guacamole that they make at Chipotle. Although sometimes the servers don't fill up the whole container of you ask for it to be on the side or is completely fresh, it never fails to taste amazing. It's almost as good as guacamole in Mexico, but definitely the best in Oregon. It isn't a thick or watery consistency with the perfect size and amount of avocado chunks which makes it perfect.",Chipotle Mexican Grill,Beaverton,OR,97007,45.437735,-122.828987,70,1,"Restaurants, Tex-Mex, Mexican, Fast Food",1,False,True,True,True,False,True,'casual',True,None,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,True,2018,"possibl favorit `` fast food chain '' per-say . everyth amaz . server alway nice alway will serv condiment ask `` '' someth . especi love guacamol make chipotl . although sometim server n't fill whole contain ask side complet fresh , never fail tast amaz . 's almost good guacamol mexico , definit best oregon . n't thick wateri consist perfect size amount avocado chunk make perfect .",,,,,,,,,,0.0037337436330520902,0.06858658709220437,0.0037433581586654176,0.9202479629143218,0.0036883482017563483
1,1,2,1,0,2,"I was so happy when I found that this chipotle was opening in my neighborhood. I mean after the ecoli bacteria fiasco I felt really good. Lightning never strikes twice right? Wrong all the symptoms of e-coli poisoning, were there. I got feverish with the lack of friendly customers service at this location. The whole crew from managers on down to the servers seem like they are all sedated.The food was so tasteless and ordinary, I felt like an ecoli upchuck to get rid of that meal and go someplace else to get a tastier meal. Like maybe Taco Bell. Last of all  e-coli diarrhea was they way I felt after paying good money for poor service and tasteless food.
Three times now. Now who's the sicko!",Chipotle Mexican Grill,Beaverton,OR,97007,45.437735,-122.828987,70,1,"Restaurants, Tex-Mex, Mexican, Fast Food",1,False,True,True,True,False,True,'casual',True,None,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,True,2016,"happi found chipotl open neighborhood . mean ecoli bacteria fiasco felt realli good . lightn never strike twice right ? wrong symptom e-coli poison , . got feverish lack friendli custom servic locat . whole crew manag server seem like sedated.th food tasteless ordinari , felt like ecoli upchuck get rid meal go someplac els get tastier meal . like mayb taco bell . last e-coli diarrhea way felt pay good money poor servic tasteless food . three time . 's sicko !",,,,,,,,,,0.6221754256668692,0.050171569892550845,0.0028636213016862626,0.3219423028312925,0.0028470803076012384
2,2,5,2,0,1,"I do love Chipotle. Fast and friendly... This location is never out of guac which really is important. This location is perfect also even no parking in this complex really does suck. My latest Pro tip for Chipotle is asking for my taco shells on the side. See, I love the crunchy taco shells but they always get soggy. So I asked them to put the shelves on the side and basically I get a bowl and tacos!",Chipotle Mexican Grill,Beaverton,OR,97007,45.437735,-122.828987,70,1,"Restaurants, Tex-Mex, Mexican, Fast Food",1,False,True,True,True,False,True,'casual',True,None,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,True,2017,"love chipotl . fast friendli ... locat never guac realli import . locat perfect also even park complex realli suck . latest pro tip chipotl ask taco shell side . see , love crunchi taco shell alway get soggi . ask put shelv side basic get bowl taco !",,,,,,,,,,0.004953099577811139,0.004951467668898685,0.46747246589851665,0.5177902357855376,0.004832731069235978
3,3,4,0,0,0,I would give this location a 5 but they really skimp you on the bowls.  And it's not just the meat.  They put barely any rice in my bowl..... like.. it's rice.  At least cover the bottom.  Otherwise good as usual.,Chipotle Mexican Grill,Beaverton,OR,97007,45.437735,-122.828987,70,1,"Restaurants, Tex-Mex, Mexican, Fast Food",1,False,True,True,True,False,True,'casual',True,None,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,True,2016,would give locat 5 realli skimp bowl . 's meat . put bare rice bowl ..... like .. 's rice . least cover bottom . otherwis good usual .,,,,,,,,,,0.010295440068429416,0.010070655070273854,0.10537636773155631,0.8639432317853181,0.010314305344422346
4,4,5,0,0,0,I eat here once a week and it's always been a pleasant experience. Staff is wonderful and food is always delish!,Chipotle Mexican Grill,Beaverton,OR,97007,45.437735,-122.828987,70,1,"Restaurants, Tex-Mex, Mexican, Fast Food",1,False,True,True,True,False,True,'casual',True,None,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,True,2017,eat week 's alway pleasant experi . staff wonder food alway delish !,,,,,,,,,,0.0184570346977928,0.21766516370862143,0.7266786339073029,0.018994349274234205,0.018204818412048653
5,5,5,1,0,0,"I'm so glad to have a chipotle in my hood. The Washington square location is so horrible I would have to drive to Tualatin. This location is by far the friendliest! I have eaten here 10 times minimally and have not got sick like the other reviewer. My husband eats here at least 3-4 times a week.
They do get a little caught up in food prep sometimes and neglect the line but I guess you would be waiting for food prep if everyone was on the line helping.
Either way, the manager hooked me up because I was talking about a bad experience at a different location and I love that he did because I wasn't even talking to him and he overheard me and wanted to make it right. I love that.
The food was great today. I get bad grissle chicken once in a while at all of the locations, they have all been good about replacing it if I let them know.
Happy to have one in Murray hill! Yasss",Chipotle Mexican Grill,Beaverton,OR,97007,45.437735,-122.828987,70,1,"Restaurants, Tex-Mex, Mexican, Fast Food",1,False,True,True,True,False,True,'casual',True,None,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,True,2016,"'m glad chipotl hood . washington squar locat horribl would drive tualatin . locat far friendliest ! eaten 10 time minim got sick like review . husband eat least 3-4 time week . get littl caught food prep sometim neglect line guess would wait food prep everyon line help . either way , manag hook talk bad experi differ locat love n't even talk overheard want make right . love . food great today . get bad grissl chicken locat , good replac let know . happi one murray hill ! yasss",,,,,,,,,,0.4202335136347738,0.11351649249679292,0.3124487225915372,0.15112498718911363,0.0026762840877822694
6,6,1,0,0,0,"This might be the worst Chipotle in the greater Portland metro area. I've been calling to-go orders into this location (app orders, actually), and getting take-out here since they opened, and I'm not sure that they've ever gotten a single order right. The food is edible, but almost everyone who makes the food might as well have ""my parents made me get this job and I hate it"" tattooed on their foreheads.  My most recent order was two kids meals, with the items of the order just tossed into the bag (not in the container they go in?). Need to remember to just order to-go food from the Mexican place next door in the future instead.",Chipotle Mexican Grill,Beaverton,OR,97007,45.437735,-122.828987,70,1,"Restaurants, Tex-Mex, Mexican, Fast Food",1,False,True,True,True,False,True,'casual',True,None,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,True,2018,"might worst chipotl greater portland metro area . 've call to-go order locat ( app order , actual ) , get take-out sinc open , 'm sure 've ever gotten singl order right . food edibl , almost everyon make food might well `` parent made get job hate '' tattoo forehead . recent order two kid meal , item order toss bag ( contain go ? ) . need rememb order to-go food mexican place next door futur instead .",,,,,,,,,,0.2519535542623514,0.11651035570412194,0.2420062734342154,0.38646056768276055,0.0030692489165506476
7,7,2,0,0,0,"Went to this Chipotle for the first time in a year. I strongly suggest waiting for a while to come here until their staff is fully trained.

I waited in line 15 minutes on a Saturday afternoon watching as they messed up an order and had to redo it. Then before I could order, a woman ran up to a new guy and said, ""You need to make this now,"" so I watched as he prepared 3 food items for someone else right in front of me. The woman ran back and said he was burning the tortilla that was in the press so he had to start over.

Their one long assembly line needs to change. Have multiple lines for people who only order one thing versus those that order a lot. Or for people with kids who take forever....

The food is good, but not worth waiting 15 minutes with no A/C on a hot day. If I ever come back (a BIG if), it will be a long while....",Chipotle Mexican Grill,Beaverton,OR,97007,45.437735,-122.828987,70,1,"Restaurants, Tex-Mex, Mexican, Fast Food",1,False,True,True,True,False,True,'casual',True,None,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,True,2017,"went chipotl first time year . strongli suggest wait come staff fulli train . wait line 15 minut saturday afternoon watch mess order redo . could order , woman ran new guy said , `` need make , '' watch prepar 3 food item someon els right front . woman ran back said burn tortilla press start . one long assembl line need chang . multipl line peopl order one thing versu order lot . peopl kid take forev .... food good , worth wait 15 minut a/c hot day . ever come back ( big ) , long ....",,,,,,,,,,0.798421335534252,0.002540324459596074,0.09404940707969386,0.10244610350125992,0.002542829425198182
8,8,1,0,0,0,I love chipotle but this location is the worst in the area. They never hook-it up here! My burrito yesterday was the smallest burrito I've ever had at any chipotle! And I even got guac! Seriously worth the drive to go to the location by Washington Square over this one. *This has happened 3+ times at his location.*,Chipotle Mexican Grill,Beaverton,OR,97007,45.437735,-122.828987,70,1,"Restaurants, Tex-Mex, Mexican, Fast Food",1,False,True,True,True,False,True,'casual',True,None,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,True,2017,love chipotl locat worst area . never hook-it ! burrito yesterday smallest burrito 've ever chipotl ! even got guac ! serious worth drive go locat washington squar one . * happen 3+ time locat . *,,,,,,,,,,0.21273491952471996,0.006860891156599466,0.3663036177119388,0.28295199070190935,0.13114858090483247
9,9,5,0,0,0,They have improved so much! The employees are friendly and portions are perfect! A few months ago I wouldn't be able to say this but this location has definitely upped their game. When I've ordered online My food is ready to go when I walk in to pick up! Very convenient!,Chipotle Mexican Grill,Beaverton,OR,97007,45.437735,-122.828987,70,1,"Restaurants, Tex-Mex, Mexican, Fast Food",1,False,True,True,True,False,True,'casual',True,None,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,True,2017,improv much ! employe friendli portion perfect ! month ago would n't abl say locat definit up game . 've order onlin food readi go walk pick ! conveni !,,,,,,,,,,0.4865343691389122,0.008235208766549448,0.4888521246860549,0.008299927456542698,0.008078369951940771
